"ID","Sex","Genotype","Cycle","DAPI_Area","DAPI_Int.Intensity","Meg3_Area","Meg3_Int.Intensity","Snhg14_Area","Snhg14_Int.Intensity","Xist_Area","Xist_Int.Intensity","Tri.coloc_Area","Tri.coloc_Int.Intensity","Snhg14_Xist_Area","Snhg14_Xist_Int.Intensity","Meg3_Snhg14_Area","Meg3_Snhg14_Int.Intensity","Meg3_Xist_Area","Meg3_Xist_Int.Intensity","Meg3_norm","Snhg14_norm","Xist_norm","Tri.coloc_norm","Meg3_Xist_Area_norm","Meg3_Snhg14_Area_norm","Snhg14_Xist_Area_norm"
499,"M","WT",11,38.444543379002,1435080.06951255,9.24741078540526,840580.120565332,0.0169660170175944,4403.5967695413,0.0152629881742139,255.859532737239,0,0,0,0,0.0166768234785114,721.970291318146,0.000224928179982702,2.34121719065471,20.0936568601386,0.0332382690964479,0.0294627842110886,0,0.000436580578402488,0.0326264009709646,0.0332382690963143
506,"M","WT",12,41.0578938778626,3339025.01374046,6.74009684198474,634337.270229007,0.108852516030535,34944.4083969467,0.00178586183206109,24.0564885496187,0.00178586183206109,113.816030534352,0.00178586183206109,113.816030534352,0.0993279190839699,11178.351908397,0.00178586183206109,113.816030534352,12.1279985059885,0.170283184696783,0.00268441318300156,0.00268441318300156,0.00268441318313262,0.154315985830294,0.170283184703446
509,"M","WT",12,37.3199099989659,1086371.22750776,5.88274000103413,451182.330920373,0.172347475180973,55647.1680455013,0.0134790470527403,300.938986556357,0.000921644260599815,30.4550155118926,0.0016704803516029,56.5113753877984,0.146599037228543,4325.83557394,0.0025921240951396,74.9291623578071,12.4985767690093,0.343959834874092,0.0137855787834196,0.00080175586269432,0.00259578468153641,0.27693239455056,0.343959834873226
730,"M","WT",12,37.0369717946429,1073399.1672619,6.80272398452381,508845.044047619,0.0451583059523812,13090.3755952381,0.0609405029761903,675.49107142857,0.00119361190476191,55.289285714285,0.00119361190476191,55.289285714285,0.0415111583333333,1379.79285714285,0.0375324529761905,1153.66607142857,14.6800282017088,0.0969791944325774,0.119490140949285,0.00261176822673032,0.0689668765832603,0.0867382872398106,0.096979194432413
740,"F","WT",12,46.4751842740255,1248212.56734851,14.6265682639908,1365373.9984562,0.976577889231956,337428.255885757,4.44200410111926,64467.7881126977,0.210553509069858,6044.67464299497,0.235878406792743,6829.87070629104,0.873859415669625,21877.4172134309,1.88466247664993,60704.6379776147,28.6834628023506,1.86131060019133,9.19926483768263,0.364614902787009,3.48083898488952,1.65365805755121,1.86131060017247
777,"F","WT",11,30.6711263164171,956663.696062113,3.78161042457016,318808.528840821,0.0544043275097061,16415.6735995564,3.18912538546866,55654.7884082085,0.011708824181919,587.244037714917,0.0136242520798669,631.851913477542,0.0462792060454799,1906.24708818635,0.653438895729343,26764.785357737,11.5409739288864,0.145434158019712,10.6873196424806,0.0283897067804,2.0457898407275,0.118701014018789,0.145434158018737
778,"F","WT",12,41.9246653339215,896011.599029554,10.783853336127,829797.970445522,0.732306418173797,252340.48963388,3.6643331671813,52337.5399205999,0.132927717247464,3593.21261579182,0.158284723864138,4253.94309660344,0.611958919717687,14106.7860608734,1.11585571636524,32337.6921041024,22.1979398216054,1.43646160965532,8.12394154593372,0.238689595513035,2.06778734609239,1.16111096421665,1.43646160965935
831,"F","WT",11,40.2522223497758,1625536.83295964,9.93512447010465,919279.099028404,0.14662332174888,41301.5818385646,3.69980339835575,74171.4887892376,0.0420886334080722,2061.21225710015,0.0444199521674144,2147.02242152466,0.139254687967115,6145.2141255605,1.46910569544096,89917.6461136024,19.7708391081336,0.267762540303893,7.95128431335329,0.0697951266684135,2.71888374363195,0.248272727815183,0.267762540305274
836,"F","WT",12,43.9547900411728,1145457.40049907,15.7088319344978,1581153.60324392,0.729510385527137,243718.56830942,6.05291379725515,109064.551466001,0.235664442919526,7287.88583905176,0.253177694946974,7690.56269494695,0.668700472239551,18518.3456019962,3.04195474672489,95111.2145976295,32.7626483147173,1.31829782321263,12.9127278962514,0.405368203548468,5.89340397515269,1.19940904984657,1.31829782321317
858,"F","WT",11,45.3348750289505,2250792.12062726,13.0242493220748,1370002.27905107,0.295419269802974,92382.214716527,3.94638929191798,75728.6505830314,0.0656686312826703,4211.58665058306,0.0682219143546436,4349.63168476077,0.282070530357863,15668.3908323282,1.90577903096101,127697.207880981,21.6279587644616,0.456243984139347,7.16619168124767,0.0985180620205395,2.94568595265461,0.432475596800912,0.45624398413637
